SAMPLE_No,Na,Mg,Al,Si,P,Ca,Ti,Fe,Ba,K,CaO.1,TiO2.1,Mn,Fe2O3.1,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Nd,Sm,Yb,Hf,W,Pb,Bi,Th,U,Sn,Sb,I,Cs,Ba.1,La,Ce
632184,11127.5964391691,17488.8433240864,74093.6755755491,286555.721765146,872.752661895619,4574.04230989137,6408.48869971824,59173.2531300273,700,18097.2937074548,5800,9470,1880,70000,15.1,122,171.5,27.3,67.6,33.2,209.9,15.2,0.7,7.8,0.5,22.6,67.9,112.4,23.8,389.9,12.8,0.9,30.9,,2.9,9.2,1.6,640.3,0.3,7.9,1.2,8.9,1.2,6,4,656,37,67
632185,11869.4362017804,20504.161138584,75681.3971950251,307591.623036649,829.115028800838,4502.57289879931,5617.16923445837,45953.696579702,700,15357.7951187116,6300,11280,1410,86600,21.8,129.8,150.7,40.2,78.5,75.6,124.8,25.6,1.1,8.8,0.9,6.6,86.4,87.8,34,540.8,14.5,0.9,45.9,4.5,3,12.8,1.6,38.3,0.4,13.6,4.5,5,1.6,5.3,3,565,33,61
632188,3709.19881305638,13267.3983837897,113257.475522625,233264.771877337,1047.30319427474,4216.6952544311,6204.66398896949,57634.468769672,600,18761.4145774531,5800,8580,3690,67200,15.8,124.5,230.7,30.8,76.3,33.2,216.5,14.7,1.3,12.6,0.6,33.4,71.3,110.5,24,566.9,11.3,0.9,30.9,4.7,2.8,14.4,1.9,70.9,,7.9,2.9,3.6,,1.5,5,475,59,104
632189,11127.5964391691,22313.3518272826,74622.9161153744,296372.475691847,829.115028800838,4216.6952544311,5167.55590192435,43365.741064559,600,11788.1454424705,17600,9290,2330,94600,14,152.6,295.5,33.1,68.4,106.7,669.5,16.8,2,12.4,2.5,11.9,52.7,131.4,31.5,633.9,15.5,3.5,41.5,,2.9,15,3.4,238.2,0.5,12.9,3.1,4.1,0.7,6.2,4,532,34,64
632190,4451.03857566766,9649.01700639248,79915.3215136279,258975.317875841,1963.69348926514,12149.7998856489,5233.499190696,64978.666853186,600,21832.9736011954,4600,8740,2480,71500,16.5,124.6,266,30.4,77.4,23.3,133.9,16.1,1,13.5,0.6,32.2,86.8,87.1,23.7,551.7,12.7,0.6,28.6,,2.5,13,1.6,35.1,0.9,8.5,2.9,46.7,3.6,3,5,594,52,95
632191,10385.7566765579,25328.6696417802,79915.3215136279,297774.869109948,829.115028800838,3573.47055460263,5383.37030154068,48401.76260754,700,15274.7800099618,5500,11000,1790,71000,14.2,108.9,179.3,33.8,60,32.5,148.6,20.1,0.5,6.6,1,11.2,70.7,102.4,32.8,1022.1,15.8,1.1,46.3,8.3,3.4,25.6,2.1,119.4,0.7,14.6,4.4,2.7,,5.6,3,574,36,66
632194,3709.19881305638,10855.1441321915,93675.5755490871,277206.432311144,1003.66556117996,3930.81761006289,6240.63305557221,45883.7518360495,600,21334.8829486967,5800,9670,2480,78900,17.3,144.9,200.1,33.3,79.3,51.9,361.2,18.4,1.4,10.3,0.7,30,81.1,106.9,31.3,451.3,12.8,1.2,34.4,5.4,3,11.4,1.1,1768.8,1.7,9,,10.7,0.2,2.4,5,497,57,104
632195,11127.5964391691,22916.4153901821,82561.5242127547,294035.153328347,916.3902949904,4073.756432247,5623.16407889215,52108.8340211233,700,18180.3088162046,5900,8150,2520,66500,14.5,120.1,174.1,29.7,72.5,31.1,140.5,14.1,1.4,12.4,0.6,41.5,71.9,107,23.1,333,10.9,0.5,29.1,5,3.1,7.7,1.7,53.9,0.6,7.2,2.8,14.6,1.6,5,3,655,40,72
632196,10385.7566765579,21710.2882643831,72505.953956073,289360.508601346,829.115028800838,4359.63407661521,4933.75696900666,43295.7963209065,600,17765.2332724556,9200,10100,1660,74100,15.3,121.4,143.4,31,66.3,21.9,113.4,18.1,1.6,7.2,0.3,17.2,67.8,166.1,22.5,290.4,11.4,1.1,26,3,1.8,6.6,1.1,111.7,0.4,8.2,3.6,3.6,0.8,7.3,3,502,32,60
632197,14094.9554896142,21107.2247014835,84678.4863720561,276738.967838444,960.027928085181,6503.71640937679,5826.98878964091,48611.5968384976,700,15523.8253362112,6700,10490,3760,70100,15.4,111.7,126.8,33.1,63.5,28.7,105.9,21.6,1.7,7,1.3,14.3,83.2,123.5,31.4,471.4,15.7,1,46,6.5,5.2,12.1,1.9,99.2,,14.4,4.1,3.3,0.7,5.2,4,580,31,61
