SAMPLE_No,Na,Mg,Al,Si,P,Ca,Ti,Fe,Ba,K,CaO.1,TiO2.1,Mn,Fe2O3.1,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Nd,Sm,Yb,Hf,W,Pb,Bi,Th,U,Sn,Sb,I,Cs,Ba.1,La,Ce
632146,11869.4362017804,18091.9068869859,60333.42154009,302449.513836948,2574.62035259208,8790.73756432247,6816.13812121576,58683.6399244597,900,13697.4929437158,12400,12170,6790,86500,14.3,131.2,352.1,56.1,72.6,81.2,332,13,1.6,8.4,1.3,23.4,47.2,136.8,36.1,2092.5,15,0.7,41.8,4.7,3.9,55,2.4,557.4,2,13.9,3.8,24.7,2.2,5.6,3,841,48,89
632148,15578.6350148368,27137.8603304788,73564.4350357237,280011.219147345,1134.5784604643,11506.5751858205,6648.28247706972,46932.9229908372,800,14195.5835962145,16500,11680,2230,72300,15.9,128.2,242.7,30.4,74.2,19.8,111.9,14.5,,5,0.4,15.2,41.6,226.7,22.7,753.8,12.5,0.9,29.1,4.2,3.3,17.1,0.8,29.6,,7.1,4,4.9,0.2,4.3,2,660,33,62
632149,5934.71810089021,12664.3348208901,70918.232336597,248223.63500374,1876.41822307558,9362.49285305889,5611.17439002458,70084.6331398196,2700,14693.6742487133,14000,10120,18070,101100,17.7,129.5,190,82.6,115.8,34.8,282.8,14.2,1.2,13.9,1.1,29.5,63.2,144.4,32.3,550.7,14.9,1.7,46.8,,3.7,13.3,2.1,207.1,,9.6,2.7,36.6,2.3,18.4,7,2750,41,82
632151,11127.5964391691,21107.2247014835,74093.6755755491,243548.990276739,1527.31715831733,6217.83876500858,5041.66416881482,78617.8918654263,700,17682.2181637058,9300,9120,2400,111500,19.3,168.3,150.1,30.6,73.6,38.5,154.3,17.2,1.2,40.7,0.7,35.6,67.3,115.3,32.2,236.9,11.8,1.3,43.8,,3.2,6,,318.8,0.5,8.8,4,2.9,1.5,9.8,3,651,40,69
632152,6676.55786350148,15076.5890724882,84149.2458322307,215033.657442034,1876.41822307558,8790.73756432247,6318.56603321144,91138.0009792264,700,13863.5231612153,13500,11850,3270,127200,15.8,125.4,124.6,33.4,70,36.6,145.5,17.8,1.3,10.4,1,17.9,56.6,144.8,32,391.1,16.5,1.6,46.6,,3.5,8.4,,107.8,0.5,9,3.4,3.3,0.5,6.9,3,604,50,90
632154,10385.7566765579,19298.0340127849,69859.7512569463,290762.902019446,1221.85372665387,6003.43053173242,6612.313410467,59872.7005665524,800,14610.6591399635,9000,11830,3700,89000,13.9,124.1,299.6,60.8,86.9,27.4,270.2,14.2,1.4,13.3,0.7,14.5,53.1,120.1,32.7,1812.2,15.2,0.4,42,3.6,3.1,46.8,1.4,278.1,0.8,13.4,4.1,4.3,1,2.1,3,710,49,90
632156,8902.07715133531,14473.5255095887,71976.7134162477,293567.688855647,1178.21609355909,7361.34934248142,5665.12798992866,60712.0374903826,700,13531.4627262162,10400,9690,3160,88000,14.1,109.9,156.2,32.4,58.2,28.5,144,14.5,0.9,8.9,0.6,11.4,49.9,128.1,26.7,601.5,13.5,1.1,36,,2.9,14.1,,112,,9.3,3,7.6,0.5,3,3,567,41,73
632157,11869.4362017804,25328.6696417802,85736.9674517068,289827.973074046,872.752661895619,5360.20583190395,5731.07127870032,56445.4081275792,700,20504.7318611987,7400,9710,2010,82400,18.5,147.3,176.5,28.7,81.6,41.7,164.5,16.7,1.4,9.6,0.5,26.7,78.8,127.6,22.9,278,12.4,1.3,32.5,3.8,3.2,5.9,,233.5,0.5,8.7,2.4,9.6,0.6,5.3,3,555,33,61
632160,11869.4362017804,24122.5425159812,81503.043133104,293100.224382947,654.564496421714,4073.756432247,5473.29296804748,45324.1938868294,600,20172.6714261996,5400,9110,1130,68700,17.9,127.4,186.2,28.2,74.2,35.4,100.4,16,0.6,12.3,0.4,33.1,77.9,113.8,24.2,395.5,11.8,0.5,26.4,6.5,2.8,10.3,1.1,51,,9,2.9,5.2,0.5,4.8,4,523,35,64
632161,13353.115727003,19298.0340127849,69859.7512569463,325355.272999252,872.752661895619,5002.85877644368,5479.28781248127,38889.2774707981,600,15440.8102274614,6700,8970,1820,60800,16.6,108.3,160.2,25.4,58.3,27.1,163.7,14.6,0.9,6.7,0.2,21.2,57,125.9,23.2,405.9,11.7,0.6,26.5,3.1,2.1,9.1,0.9,543.9,,7.7,1.7,3.4,0.9,4.5,3,492,30,57
