85712.6396655	21727.0901279	632101
85347.7652845	23701.3060172	632103
55659.1999284	70021.6410317	632104
85570.0043603	30363.8823256	632108
84334.4638078	37993.3413465	632109
71190.3920968	55972.8791175	632115
85670.7154063	53649.3272193	632116
57984.0533168	66787.5895838	632119
82630.6068791	35294.6958247	632121
86859.1205411	40776.7929942	632123
83848.9769384	36779.1158143	632124
84647.9619895	30583.2174264	632125
72380.9173236	54307.0262482	632126
78941.5724077	48979.9086212	632128
82240.8480602	31545.100342	632134
87196.9090903	47957.624417	632135
87005.9185312	40756.2428536	632136
56364.8102631	70273.0294921	632137
84774.4467019	26698.8860171	632138
78595.0320981	48512.5570434	632139
90041.7926153	44217.703476	632140
75398.4994	53022.4992965	632141
71327.1051993	56233.3498843	632145
75944.8431852	52922.0224063	632146
86728.6028101	48022.5249099	632148
75885.3787889	53350.7984034	632149
87332.6994876	41781.5751878	632151
65969.3235512	61799.9603822	632152
78512.5821067	49186.4826853	632154
71665.8760802	55648.1067915	632156
90638.9711268	44641.3360872	632157
85726.3163884	30815.1187054	632160
87013.9627292	47456.7284069	632161
86431.095895	53543.631756	632162
62027.3675557	64022.9835091	632164
56101.2508395	69986.3085313	632165
62270.9512484	64953.9462356	632166
84855.8532135	27182.8061667	632167
84607.9249095	53872.2091015	632170
90657.0311763	44464.0980661	632171
56284.1864351	68706.6125435	632172
87526.3347218	42117.6013404	632174
85119.6459667	30635.5233736	632176
84497.4950098	38044.2162873	632177
69079.6454139	59218.5891597	632179
86043.4524472	53361.2734326	632180
82740.6211103	32090.7870529	632183
83012.966893	35417.9988609	632184
84843.4321596	38404.2762535	632185
62577.3646205	64644.8206135	632188
82552.7331179	31550.7161808	632189
56262.3892087	70354.2976031	632190
85080.1985803	26864.5151479	632191
71629.3152653	56141.8747198	632194
82896.566047	35224.150666	632195
85118.2103357	30359.1538396	632196
87292.7398129	41818.5953621	632197
71781.0390301	55888.0994211	632198
84844.1728967	22415.5918312	632199
84226.03347	36963.1269341	632200
43645.1327901	73945.5101009	700008
42274.7686505	74350.4771469	700009
40833.3571974	74932.0268403	700010
38209.1354053	76721.5918154	700011
37580.8963562	76909.2679823	700012
39086.6431637	76283.6285346	700017
44467.5181737	73221.8275633	700019
44580.9667158	73420.858729	700020
46943.5217243	72891.3169631	700021
44638.2838881	73338.4443713	700022
